Gene,Coefficient,Importance
ILMN_2359029,0.061847213531746284,0.061847213531746284
ILMN_1702197,0.05619475737377303,0.05619475737377303
ILMN_1653712,0.05448126338129536,0.05448126338129536
ILMN_1834190,0.052682122821396886,0.052682122821396886
ILMN_1813833,-0.052184525947014095,0.052184525947014095
ILMN_1722738,-0.0521331572153561,0.0521331572153561
ILMN_2390310,0.04982708898721065,0.04982708898721065
ILMN_1731720,-0.0484282996456545,0.0484282996456545
ILMN_1672165,0.04808512739017892,0.04808512739017892
ILMN_1696974,0.047849326196567815,0.047849326196567815
ILMN_2285618,0.04553443967802385,0.04553443967802385
ILMN_2062754,0.04341604250087503,0.04341604250087503
ILMN_1685602,-0.04289939475829585,0.04289939475829585
ILMN_1901532,0.04280644128523718,0.04280644128523718
ILMN_2352023,0.04243910051193811,0.04243910051193811
ILMN_1687359,-0.04199795683109952,0.04199795683109952
ILMN_1749834,0.04164407503142164,0.04164407503142164
ILMN_1806304,0.041622183814715746,0.041622183814715746
ILMN_1670542,-0.04145174336848055,0.04145174336848055
ILMN_1681888,0.04120873270496666,0.04120873270496666
ILMN_1723494,-0.0404651654729748,0.0404651654729748
ILMN_1702229,0.03937843009357049,0.03937843009357049
ILMN_1706410,-0.03905446345396859,0.03905446345396859
ILMN_2153485,-0.0387720976747463,0.0387720976747463
ILMN_1779751,0.03863919003232,0.03863919003232
ILMN_1727642,-0.03841154908716205,0.03841154908716205
ILMN_1765500,-0.03832595804656161,0.03832595804656161
ILMN_1791149,-0.038227408683758804,0.038227408683758804
ILMN_1807613,0.037519847024331594,0.037519847024331594
ILMN_1752914,-0.036300222730875416,0.036300222730875416
ILMN_1792323,0.03597555283091654,0.03597555283091654
ILMN_1905013,-0.035959886701620265,0.035959886701620265
