Gene,Coefficient,Importance
209950_s_at,-0.07741544466011935,0.07741544466011935
206639_x_at,-0.07731596010388095,0.07731596010388095
207983_s_at,-0.07506654603233719,0.07506654603233719
207123_s_at,-0.07435475228910339,0.07435475228910339
219291_at,-0.07367132093698103,0.07367132093698103
205048_s_at,-0.07288408308203684,0.07288408308203684
201711_x_at,-0.07127946754576606,0.07127946754576606
220645_at,-0.07079463436819192,0.07079463436819192
205437_at,0.06892516845125013,0.06892516845125013
217653_x_at,0.06825153606632048,0.06825153606632048
215375_x_at,0.068195570497898,0.068195570497898
200679_x_at,-0.06691352315585519,0.06691352315585519
208213_s_at,-0.06656358485676316,0.06656358485676316
217115_at,0.06566367419359491,0.06566367419359491
201326_at,-0.06516635011465081,0.06516635011465081
203957_at,-0.06413626576754235,0.06413626576754235
213750_at,0.06249218855471885,0.06249218855471885
212885_at,-0.06165459287833583,0.06165459287833583
218968_s_at,0.06116977592906657,0.06116977592906657
210964_s_at,-0.06055208348923284,0.06055208348923284
201101_s_at,-0.05590726417455528,0.05590726417455528
201029_s_at,0.05552453342285184,0.05552453342285184
211751_at,-0.055196211658805096,0.055196211658805096
207183_at,-0.05463675273110001,0.05463675273110001
203674_at,0.05411422654982261,0.05411422654982261
208113_x_at,0.05399301671894344,0.05399301671894344
202778_s_at,-0.0539394836436817,0.0539394836436817
215472_at,-0.052979856100794157,0.052979856100794157
218131_s_at,0.0527682692302852,0.0527682692302852
203243_s_at,0.05191013678091696,0.05191013678091696
216547_at,0.05157903086727786,0.05157903086727786
201947_s_at,-0.05128659476137464,0.05128659476137464
